model,external_key,pair,value,explanation
claude-haiku-4-5,kreps2020_r0003,pair07_choice,Vaccine B,Vaccine B's 90% efficacy and WHOendorsement outweigh Vaccine A's lower 50% efficacy despite better safety numbers.
claude-haiku-4-5,kreps2020_r0003,pair08_choice,Vaccine A,Vaccine A's US origin with CDC endorsement and superior efficacy/duration is preferable to Vaccine B's significantly weaker profile.
claude-haiku-4-5,kreps2020_r0003,pair09_choice,Vaccine A,"Although Trump endorses Vaccine A, its 90% efficacy and 5-year protection vastly outweigh Vaccine B's weak 50% efficacy."
claude-haiku-4-5,kreps2020_r0003,pair10_choice,Vaccine B,Vaccine B's 90% efficacy with Biden's endorsement is far superior to Vaccine A's weak 50% efficacy even though both are Chinese.
claude-haiku-4-5,kreps2020_r0003,pair11_choice,Vaccine A,Vaccine A's nearly nonexistent major side effect risk and 90% efficacy outweigh Trump's endorsement on Vaccine B.
claude-haiku-4-5,kreps2020_r0003,pair12_choice,Vaccine A,Vaccine A's 70% efficacy and virtually no major side effects with Biden's endorsement beats Vaccine B's lower efficacy.
claude-haiku-4-5,kreps2020_r0003,pair13_choice,Vaccine B,Vaccine B's 5-year protection duration and virtually nonexistent major side effects appeal more than the 1-year option despite equal efficacy.
claude-haiku-4-5,kreps2020_r0003,pair14_choice,Vaccine A,Vaccine A's 90% efficacy and virtually no major side effects with CDC endorsement is superior to Vaccine B's 70%.
claude-haiku-4-5,kreps2020_r0003,pair15_choice,Vaccine A,Vaccine A's 90% efficacy with Biden's endorsement outweighs Vaccine B's lower 50% efficacy for long-term protection.
claude-haiku-4-5,kreps2020_r0003,pair16_choice,Vaccine B,Vaccine B's 70% efficacy with full FDA approval and CDC endorsement is better than Trump endorsing a weaker option.
claude-haiku-4-5,kreps2020_r0003,pair17_choice,Vaccine B,"Vaccine B's 5-year protection, virtually nonexistent major side effects, and WHO endorsement outweigh Trump's support for Vaccine A."
claude-haiku-4-5,kreps2020_r0003,pair18_choice,Vaccine B,Vaccine B's 90% efficacy with Biden's endorsement is substantially better than Vaccine A's weaker 50% profile.
claude-haiku-4-5,kreps2020_r0003,pair19_choice,Vaccine B,Vaccine B's virtually nonexistent major side effect rate and Biden's endorsement is preferable despite Trump endorsing Vaccine A.
claude-haiku-4-5,kreps2020_r0003,pair20_choice,Vaccine A,Vaccine A's 90% efficacy and full approval with WHO endorsement beats Vaccine B's weak 50% efficacy.
claude-haiku-4-5,kreps2020_r0003,pair21_choice,Vaccine A,Vaccine A's 90% efficacy and 5-year duration with Biden's endorsement clearly exceeds Vaccine B's 70% despite Trump's support.
claude-haiku-4-5,kreps2020_r0003,pair22_choice,Vaccine A,"Vaccine A's superior efficacy, virtually nonexistent major side effects, and Biden's endorsement on a US vaccine is the clear choice."
claude-haiku-4-5,kreps2020_r0003,pair23_choice,Vaccine A,Vaccine A's 5-year protection with WHO endorsement on a UK vaccine is preferable to Vaccine B's shorter protection despite better safety profile.
claude-haiku-4-5,kreps2020_r0003,pair24_choice,Vaccine B,Vaccine B's 90% efficacy and full FDA approval with WHO endorsement outweigh Vaccine A's lower 70% efficacy.
claude-haiku-4-5,kreps2020_r0004,pair01_choice,Vaccine A,"Vaccine A has superior efficacy and longer protection despite Trump's endorsement, which I can overlook given the FDA approval and significantly better medical profile."
claude-haiku-4-5,kreps2020_r0004,pair02_choice,Vaccine A,Vaccine A's 90% efficacy is clearly superior to Vaccine B's 70% when all other factors are identical.
claude-haiku-4-5,kreps2020_r0004,pair03_choice,Vaccine A,"I prefer the US-origin vaccine endorsed by Biden over the Chinese vaccine endorsed by Trump, despite the lower efficacy."
claude-haiku-4-5,kreps2020_r0004,pair04_choice,Vaccine B,Vaccine B's 90% efficacy with Biden's endorsement outweighs Vaccine A's lower 50% efficacy.
claude-haiku-4-5,kreps2020_r0004,pair05_choice,Vaccine A,"Vaccine A's 90% efficacy is superior to Vaccine B's 70%, and Biden's endorsement reassures me despite the slightly higher minor side effect risk."
claude-haiku-4-5,kreps2020_r0004,pair06_choice,Vaccine B,"Vaccine B offers significantly higher efficacy at 90% versus 70%, with longer protection and CDC approval."
claude-haiku-4-5,kreps2020_r0004,pair07_choice,Vaccine B,Vaccine B's 90% efficacy and WHO endorsement outweigh Vaccine A's lower 50% efficacy despite the rare major side effect difference.
claude-haiku-4-5,kreps2020_r0004,pair08_choice,Vaccine A,Vaccine A from the US with CDC backing and 90% efficacy is preferable to Vaccine B's weaker 50% efficacy.
claude-haiku-4-5,kreps2020_r0004,pair09_choice,Vaccine A,Vaccine A's superior 90% efficacy and 5-year protection outweigh Trump's endorsement compared to Vaccine B's weak 50% profile.
claude-haiku-4-5,kreps2020_r0004,pair10_choice,Vaccine B,Vaccine B's 90% efficacy and Biden's endorsement clearly outweigh Vaccine A's 50% efficacy despite the Chinese origin.
claude-haiku-4-5,kreps2020_r0004,pair11_choice,Vaccine A,"Vaccine A has excellent safety profile with nearly zero major side effect risk and WHO endorsement, making the shorter duration acceptable."
claude-haiku-4-5,kreps2020_r0004,pair12_choice,Vaccine A,Vaccine A's 70% efficacy with minimal major side effect risk and Biden's endorsement beats Vaccine B's 50% efficacy.
claude-haiku-4-5,kreps2020_r0004,pair13_choice,Vaccine A,Vaccine A's 5-year protection and Biden's endorsement make it preferable despite Vaccine B's near-zero major side effect risk.
claude-haiku-4-5,kreps2020_r0004,pair14_choice,Vaccine A,Vaccine A's 90% efficacy with virtually no major side effect risk outweighs Vaccine B's lower efficacy.
claude-haiku-4-5,kreps2020_r0004,pair15_choice,Vaccine A,Vaccine A's 90% efficacy with Biden's endorsement is clearly superior to Vaccine B's 50% efficacy.
claude-haiku-4-5,kreps2020_r0004,pair16_choice,Vaccine B,Vaccine B's 70% efficacy with CDC approval from the US is better than Vaccine A's weaker 50% despite Trump's endorsement.
claude-haiku-4-5,kreps2020_r0004,pair17_choice,Vaccine B,"Vaccine B offers longer protection with near-zero major side effect risk and WHO endorsement, superior to Vaccine A despite Trump's backing for the other option."
claude-haiku-4-5,kreps2020_r0004,pair18_choice,Vaccine B,"Vaccine B's 90% efficacy clearly outweighs Vaccine A's 50%, and Biden's endorsement is reassuring."
claude-haiku-4-5,kreps2020_r0004,pair19_choice,Vaccine B,Vaccine B's near-zero major side effect risk and Biden's endorsement outweigh Vaccine A's Trump backing despite similar efficacy.
claude-haiku-4-5,kreps2020_r0004,pair20_choice,Vaccine A,Vaccine A's 90% efficacy and WHO endorsement are preferable to Vaccine B's weaker 50% profile.
claude-haiku-4-5,kreps2020_r0004,pair21_choice,Vaccine A,Vaccine A's longer 5-year protection and Biden's endorsement clearly outweigh Vaccine B's Trump backing.
claude-haiku-4-5,kreps2020_r0004,pair22_choice,Vaccine A,Vaccine A's nearly zero major side effect risk with US origin and Biden's endorsement makes it the superior choice.
claude-haiku-4-5,kreps2020_r0004,pair23_choice,Vaccine A,Vaccine A's longer 5-year protection and WHO endorsement outweigh Vaccine B's shorter duration despite similar low major side effect risk.
claude-haiku-4-5,kreps2020_r0004,pair24_choice,Vaccine B,Vaccine B's 90% efficacy with WHO endorsement and full FDA approval outweigh Vaccine A's slightly safer major side effect profile.
claude-haiku-4-5,kreps2020_r0005,pair01_choice,Vaccine A,"Vaccine A has superior efficacy and longer protection duration, plus Trump's endorsement aligns with my political views."
claude-haiku-4-5,kreps2020_r0005,pair02_choice,Vaccine A,Vaccine A's higher efficacy of 90% versus 70% makes it the clear choice when other factors are identical.
claude-haiku-4-5,kreps2020_r0005,pair03_choice,Vaccine B,"Despite China's origin being concerning, Vaccine B's 90% efficacy and 5-year protection outweigh the lower US-origin alternative, and Trump's endorsement reassures me."
claude-haiku-4-5,kreps2020_r0005,pair04_choice,Vaccine B,"Vaccine B's 90% efficacy is substantially better than Vaccine A's 50%, which is the decisive factor here."
claude-haiku-4-5,kreps2020_r0005,pair05_choice,Vaccine B,"Vaccine B has an extremely low major side effect risk of 1 in 1 million and FDA approval, making it safer despite slightly lower efficacy."
claude-haiku-4-5,kreps2020_r0005,pair06_choice,Vaccine B,Vaccine B offers superior 90% efficacy and 5-year protection compared to Vaccine A's 70% and 1-year duration.
claude-haiku-4-5,kreps2020_r0005,pair07_choice,Vaccine A,Vaccine A's UK origin and CDC endorsement are more trustworthy to me than Vaccine B from China and WHO.
claude-haiku-4-5,kreps2020_r0005,pair08_choice,Vaccine A,"Vaccine A's 90% efficacy, US origin, and 5-year protection make it far superior to Vaccine B's weak 50% efficacy."
claude-haiku-4-5,kreps2020_r0005,pair09_choice,Vaccine A,"Vaccine A has higher efficacy, US origin, and Trump's endorsement which aligns with my conservative Republican values."
claude-haiku-4-5,kreps2020_r0005,pair10_choice,Vaccine B,"Vaccine B's superior 90% efficacy outweighs the Biden endorsement, as the medical benefit is more important than political preference."
claude-haiku-4-5,kreps2020_r0005,pair11_choice,Vaccine B,"Vaccine B's 5-year protection duration is more valuable than Vaccine A's 1-year coverage, and Trump's endorsement is a plus."
claude-haiku-4-5,kreps2020_r0005,pair12_choice,Vaccine A,Vaccine A's 70% efficacy and extremely low major side effect risk of 1 in 1 million make it preferable.
claude-haiku-4-5,kreps2020_r0005,pair13_choice,Vaccine A,Vaccine A's 5-year protection duration is significantly more valuable than Vaccine B's 1-year coverage.
claude-haiku-4-5,kreps2020_r0005,pair14_choice,Vaccine A,Vaccine A has slightly higher efficacy and an extremely low major side effect risk of 1 in 1 million.
claude-haiku-4-5,kreps2020_r0005,pair15_choice,Vaccine A,Vaccine A's 90% efficacy is substantially better than Vaccine B's 50% despite the less favorable endorsement.
claude-haiku-4-5,kreps2020_r0005,pair16_choice,Vaccine A,"Vaccine A is US-origin with Trump's endorsement, which appeals to my conservative values more than the CDC-endorsed alternative."
claude-haiku-4-5,kreps2020_r0005,pair17_choice,Vaccine A,Vaccine A has Trump's endorsement and is from China but has consistent efficacy; I prefer Trump's backing.
claude-haiku-4-5,kreps2020_r0005,pair18_choice,Vaccine B,"Vaccine B's 90% efficacy substantially outperforms Vaccine A's 50%, making it the better choice despite Biden's endorsement."
claude-haiku-4-5,kreps2020_r0005,pair19_choice,Vaccine A,"Vaccine A is US-origin with Trump's endorsement and superior safety profile, both key factors for my decision."
claude-haiku-4-5,kreps2020_r0005,pair20_choice,Vaccine A,Vaccine A's 90% efficacy and higher protection level outweigh Vaccine B's longer duration when efficacy differs substantially.
claude-haiku-4-5,kreps2020_r0005,pair21_choice,Vaccine A,"Vaccine A's 90% efficacy and 5-year protection are significantly better than Vaccine B's 70% efficacy, despite Trump endorsing B."
claude-haiku-4-5,kreps2020_r0005,pair22_choice,Vaccine A,"Vaccine A is US-origin with extremely low major side effect risk and high efficacy, making it the clear choice."
claude-haiku-4-5,kreps2020_r0005,pair23_choice,Vaccine A,Vaccine A's UK origin and 5-year protection with extremely low major side effects make it preferable to Vaccine B.
claude-haiku-4-5,kreps2020_r0005,pair24_choice,Vaccine B,Vaccine B's 90% efficacy and full FDA approval are more important to me than Vaccine A's slightly lower major side effect risk.
claude-haiku-4-5,kreps2020_r0006,pair01_choice,Vaccine A,"Vaccine A has better efficacy, longer protection, Trump's endorsement matters to me as a Republican, and it's from the UK rather than China."
claude-haiku-4-5,kreps2020_r0006,pair02_choice,Vaccine A,"Vaccine A has superior efficacy at 90% compared to 70%, and both have similar safety profiles and CDC endorsement."
claude-haiku-4-5,kreps2020_r0006,pair03_choice,Vaccine A,"Despite Biden's endorsement being less appealing, the US origin and FDA approval outweigh the superior specs of the China-made vaccine for my preference."
claude-haiku-4-5,kreps2020_r0006,pair04_choice,Vaccine B,"Vaccine B's 90% efficacy significantly outweighs Vaccine A's lower 50% efficacy, and I prefer higher protection even with Biden's endorsement."
claude-haiku-4-5,kreps2020_r0006,pair05_choice,Vaccine B,"Vaccine B has dramatically lower major side effect risk at 1 in a million versus 1 in 10,000, making it safer despite slightly lower efficacy."
claude-haiku-4-5,kreps2020_r0006,pair06_choice,Vaccine B,"Vaccine B offers superior efficacy at 90% with 5-year protection, which is much better for long-term immunity."
claude-haiku-4-5,kreps2020_r0006,pair07_choice,Vaccine A,"Despite vaccine B's higher efficacy, I prefer Vaccine A from the UK with nearly no major side effects and CDC endorsement over a China-made vaccine with WHO backing."
claude-haiku-4-5,kreps2020_r0006,pair08_choice,Vaccine A,"Vaccine A has 90% efficacy from the US with CDC backing and emergency authorization, far superior to Vaccine B's 50% efficacy."
claude-haiku-4-5,kreps2020_r0006,pair09_choice,Vaccine A,"Vaccine A's 90% efficacy and Trump endorsement appeal to me as a moderate Republican, plus the US origin is preferable."
claude-haiku-4-5,kreps2020_r0006,pair10_choice,Vaccine B,"Vaccine B's 90% efficacy is significantly better than Vaccine A's 50%, outweighing the different endorsements."
claude-haiku-4-5,kreps2020_r0006,pair11_choice,Vaccine B,"Vaccine B has Trump's endorsement and same 90% efficacy with 5-year protection versus 1 year, which is superior for lasting immunity."
claude-haiku-4-5,kreps2020_r0006,pair12_choice,Vaccine A,Vaccine A's 70% efficacy with virtually no major side effects and nearly identical conditions makes it preferable to Vaccine B's 50%.
claude-haiku-4-5,kreps2020_r0006,pair13_choice,Vaccine A,"Vaccine A has full FDA approval and 5-year protection, which is better long-term security despite Biden endorsement concerns."
claude-haiku-4-5,kreps2020_r0006,pair14_choice,Vaccine A,"Vaccine A has higher efficacy at 90% with practically no major side effects and CDC endorsement, making it the safer choice."
claude-haiku-4-5,kreps2020_r0006,pair15_choice,Vaccine A,"Vaccine A's 90% efficacy is substantially better than Vaccine B's 50%, making it the more effective option."
claude-haiku-4-5,kreps2020_r0006,pair16_choice,Vaccine A,"Vaccine A has Trump's endorsement and is US-made, which aligns with my Republican values despite lower efficacy."
claude-haiku-4-5,kreps2020_r0006,pair17_choice,Vaccine A,"Vaccine A has Trump's endorsement and full FDA approval, which matters to me more than the slightly better long-term protection of Vaccine B."
claude-haiku-4-5,kreps2020_r0006,pair18_choice,Vaccine B,"Vaccine B's 90% efficacy is substantially higher than Vaccine A's 50%, making it the more effective protection choice."
claude-haiku-4-5,kreps2020_r0006,pair19_choice,Vaccine A,"Vaccine A is US-made with Trump endorsement, which aligns with my Republican identity, though both have good efficacy."
claude-haiku-4-5,kreps2020_r0006,pair20_choice,Vaccine A,"Vaccine A's 90% efficacy and full FDA approval make it better than Vaccine B's 50%, and I prefer the 1-year to 5-year comparison for more frequent updates."
claude-haiku-4-5,kreps2020_r0006,pair21_choice,Vaccine A,Vaccine A's 90% efficacy and 5-year protection significantly exceed Vaccine B's 70% efficacy and 1-year duration.
claude-haiku-4-5,kreps2020_r0006,pair22_choice,Vaccine A,"Vaccine A is US-made with virtually zero major side effects, full FDA approval, and superior 90% efficacy, making it the clear choice."
